elem        h  nnode mode       err_w_ref       err_v_ref       err_w_ana       err_v_ana
   2   0.1000 171296    1  0.00000000e+00  0.00000000e+00  1.32689250e-03  5.27253195e-04
   2   0.1000 171296    2  0.00000000e+00  0.00000000e+00  1.26856463e-02  5.20044142e-03
   2   0.1000 171296    3  0.00000000e+00  0.00000000e+00  3.00444835e-02  1.36599454e-02
   2   0.2000  43671    1  2.97531244e-04  4.61240614e-05  1.02975605e-03  5.72902408e-04
   2   0.2000  43671    2  3.87417446e-04  8.26164821e-05  1.23031434e-02  5.25447945e-03
   2   0.2000  43671    3  4.16798983e-04  1.22916016e-04  2.96402070e-02  1.37593064e-02
   2   0.4000  11139    1  1.49104250e-03  2.28823958e-04  1.62171545e-04  7.54143255e-04
   2   0.4000  11139    2  1.89675773e-03  4.19736416e-04  1.08129501e-02  5.48823054e-03
   2   0.4000  11139    3  2.10420930e-03  6.24146764e-04  2.80034941e-02  1.41640493e-02
   2   0.8000   2911    1  6.14566481e-03  9.62355486e-04  4.81061766e-03  1.48561178e-03
   2   0.8000   2911    2  7.93921710e-03  1.75557511e-03  4.84714325e-03  6.49437333e-03
   2   0.8000   2911    3  8.59921821e-03  2.48971701e-03  2.17036243e-02  1.57074656e-02
   2   1.6000    805    1  2.36857116e-02  3.68049880e-03  2.23273907e-02  4.20236307e-03
   2   1.6000    805    2  3.08300280e-02  6.74813461e-03  1.77532829e-02  1.09192655e-02
   2   1.6000    805    3  3.33551698e-02  9.89731563e-03  2.30854744e-03  2.24008521e-02
   2   3.2000    254    1  7.48553850e-02  1.07073804e-02  7.34291674e-02  1.12287425e-02
   2   3.2000    254    2  9.81852892e-02  2.05835261e-02  8.42540991e-02  2.44252938e-02
   2   3.2000    254    3  1.04718211e-01  2.79646215e-02  7.15275230e-02  3.94419796e-02
   2   6.4000     90    1  2.11852217e-01  2.32527064e-02  2.10244219e-01  2.37724565e-02
   2   6.4000     90    2  2.69029228e-01  4.51180502e-02  2.52930772e-01  4.88456295e-02
   2   6.4000     90    3  2.92153292e-01  7.01761003e-02  2.53331214e-01  8.17291172e-02
   3   0.1000 144371    1  0.00000000e+00  0.00000000e+00  1.39303117e-03  5.16559556e-04
   3   0.1000 144371    2  0.00000000e+00  0.00000000e+00  1.27699056e-02  5.18733392e-03
   3   0.1000 144371    3  0.00000000e+00  0.00000000e+00  3.01327697e-02  1.36374989e-02
   3   0.2000  37059    1  1.03462391e-04  1.36781498e-05  1.28971291e-03  5.30060725e-04
   3   0.2000  37059    2  1.34824124e-04  2.41278045e-05  1.26368032e-02  5.20300139e-03
   3   0.2000  37059    3  1.53684576e-04  3.51876537e-05  2.99837161e-02  1.36650813e-02
   3   0.4000   9379    1  5.15803560e-04  7.33224681e-05  8.77946144e-04  5.89048547e-04
   3   0.4000   9379    2  6.81412243e-04  1.32015885e-04  1.20971950e-02  5.27474717e-03
   3   0.4000   9379    3  7.74483956e-04  1.94429415e-04  2.93816231e-02  1.37933529e-02
   3   0.8000   2545    1  2.11096972e-03  3.08034274e-04  7.14997898e-04  8.22002477e-04
   3   0.8000   2545    2  2.78260990e-03  5.61240887e-04  1.00228294e-02  5.57801723e-03
   3   0.8000   2545    3  3.18043757e-03  8.41391594e-04  2.70481675e-02  1.43218423e-02
   3   1.6000    721    1  8.72982347e-03  1.24803925e-03  7.32463138e-03  1.75897259e-03
   3   1.6000    721    2  1.11503007e-02  2.28711362e-03  1.76199319e-03  6.94372551e-03
   3   1.6000    721    3  1.28365338e-02  3.26780247e-03  1.76830363e-02  1.63404890e-02
   3   3.2000    227    1  3.27794086e-02  4.50652504e-03  3.13407147e-02  5.01534395e-03
   3   3.2000    227    2  4.10538277e-02  8.44307690e-03  2.77596686e-02  1.25967752e-02
   3   3.2000    227    3  4.71483899e-02  1.18758177e-02  1.55949086e-02  2.40982898e-02
   3   6.4000     95    1  8.97658645e-02  1.05248510e-02  8.82477867e-02  1.10344867e-02
   3   6.4000     95    2  1.15422904e-01  1.95451252e-02  1.01179059e-01  2.33664998e-02
   3   6.4000     95    3  1.29501683e-01  3.02103342e-02  9.54666688e-02  4.20727235e-02
