mtype etype        h      n             u_r        s_lsq_rr        s_lsq_tt        s_lsq_zz        s_avg_rr        s_avg_tt        s_avg_zz
    1     2   0.0250  82676  5.52288310e-06  3.74750148e-04  1.02554242e-04  3.35864707e-04  4.02406134e-04  9.90788048e-05  1.71809541e-04
    1     2   0.0500  20968  2.26574070e-05  9.75396679e-04  2.32287922e-04  8.39221733e-04  1.07934485e-03  2.44705168e-04  4.29083668e-04
    1     2   0.1000   5368  9.05449136e-05  2.55862112e-03  5.76493701e-04  2.16611534e-03  2.96179891e-03  6.38865344e-04  1.15004578e-03
    1     2   0.2000   1397  3.78975357e-04  6.87340527e-03  1.38502040e-03  5.61623822e-03  8.40838869e-03  1.75200430e-03  3.07998207e-03
    1     2   0.4000    403  1.60039521e-03  1.79463286e-02  3.48304020e-03  1.43883848e-02  2.36318923e-02  4.94657610e-03  8.59932977e-03
    1     3   0.0250  74891  2.76364235e-06  3.02715738e-04  6.18918667e-05  2.61667865e-04  4.32177696e-04  9.16415378e-05  1.58545762e-04
    1     3   0.0500  19179  1.11810682e-05  8.44527975e-04  1.70787353e-04  7.28293469e-04  1.21436456e-03  2.57167415e-04  4.47682512e-04
    1     3   0.1000   5053  4.29571444e-05  2.18128473e-03  3.55188293e-04  1.77984282e-03  3.33202404e-03  6.92636708e-04  1.10798834e-03
    1     3   0.2000   1419  1.82733416e-04  6.71834307e-03  1.33111381e-03  5.82470499e-03  9.67117633e-03  2.06866446e-03  3.50758461e-03
    1     3   0.4000    409  8.89312670e-04  1.78206162e-02  3.88942352e-03  1.58578878e-02  2.61680065e-02  6.02938222e-03  9.93491962e-03
    2     2   0.0250  84174  4.92163981e-07  2.42379332e-04  2.34884898e-05  2.07054036e-04  3.50774793e-04  7.29836368e-05  1.19271484e-04
    2     2   0.0500  21349  1.98993153e-06  6.64330917e-04  6.44570143e-05  5.61476979e-04  9.63711031e-04  1.96039960e-04  3.29194198e-04
    2     2   0.1000   5490  8.14907924e-06  1.73441803e-03  1.68445784e-04  1.42729566e-03  2.55484394e-03  5.19979986e-04  8.42620253e-04
    2     2   0.2000   1413  2.89837431e-05  4.87715707e-03  4.76604413e-04  3.92259071e-03  7.36365120e-03  1.47243792e-03  2.34698031e-03
    2     2   0.4000    394  1.10327779e-04  1.33317486e-02  1.30705801e-03  1.03886346e-02  2.07225678e-02  4.12607920e-03  6.43488196e-03
    2     3   0.0250  76305  5.64412168e-07  2.90640077e-04  2.77308173e-05  2.22010973e-04  4.36730448e-04  8.62222310e-05  1.39144582e-04
    2     3   0.0500  19615  2.24573040e-06  8.00721758e-04  7.68105929e-05  6.10516983e-04  1.22054597e-03  2.41898034e-04  3.81030318e-04
    2     3   0.1000   5161  8.76051743e-06  2.27184420e-03  2.18799303e-04  1.73306882e-03  3.47892110e-03  6.86328833e-04  1.08218160e-03
    2     3   0.2000   1447  3.43082190e-05  6.55943651e-03  6.33321414e-04  5.01790911e-03  9.93984348e-03  1.95306805e-03  3.13148562e-03
    2     3   0.4000    429  1.38974010e-04  1.84085044e-02  1.78644923e-03  1.39692449e-02  2.75723383e-02  5.36148802e-03  8.64661979e-03
