      n      nnz method  it         err       tprec      tsolve      memory
  29929   149645 NoPrec 348 7.28365e-08 0.00000e+00 1.35010e-01 0.00000e+00
  29929   149645 Jacobi 348 7.28366e-08 1.01853e-04 3.92116e-01 2.00000e+01
  29929   149645   SSOR 176 9.95945e-08 2.70000e-08 2.84675e-01 0.00000e+00
  29929   149645   ILU0 137 9.89384e-08 2.23020e-03 9.79228e-02 1.00000e+02
  29929   149645   ILU1  90 9.75090e-08 9.76445e-03 8.30590e-02 1.40463e+02
  59536   297680 NoPrec 490 9.27855e-08 0.00000e+00 3.13919e-01 0.00000e+00
  59536   297680 Jacobi 490 9.27856e-08 1.16875e-04 5.01414e-01 2.00000e+01
  59536   297680   SSOR 246 8.99144e-08 5.00000e-08 5.16045e-01 0.00000e+00
  59536   297680   ILU0 179 9.19348e-08 8.31313e-03 3.76652e-01 1.00000e+02
  59536   297680   ILU1 124 9.06581e-08 4.14352e-02 3.40759e-01 1.40328e+02
 119716   598580 NoPrec 695 5.92017e-08 0.00000e+00 1.28155e+00 0.00000e+00
 119716   598580 Jacobi 695 5.92020e-08 3.38649e-04 1.60929e+00 2.00000e+01
 119716   598580   SSOR 342 9.94235e-08 5.20000e-08 1.84846e+00 0.00000e+00
 119716   598580   ILU0 250 9.94347e-08 1.67685e-02 1.23145e+00 1.00000e+02
 119716   598580   ILU1 162 9.66380e-08 5.14948e-02 6.64982e-01 1.40231e+02
 239121  1195605 NoPrec 981 6.00655e-08 0.00000e+00 2.55352e+00 0.00000e+00
 239121  1195605 Jacobi 981 6.00651e-08 7.12489e-04 2.73531e+00 2.00000e+01
 239121  1195605   SSOR 478 9.36660e-08 5.10000e-08 3.72042e+00 0.00000e+00
 239121  1195605   ILU0 350 9.75139e-08 2.59636e-02 2.26521e+00 1.00000e+02
 239121  1195605   ILU1 226 9.91335e-08 9.20908e-02 1.73615e+00 1.40164e+02
 478864  2394320 NoPrec 1387 8.12464e-08 0.00000e+00 7.73031e+00 0.00000e+00
 478864  2394320 Jacobi 1387 8.12467e-08 1.50829e-03 8.43957e+00 2.00000e+01
 478864  2394320   SSOR 669 9.82326e-08 4.90000e-08 1.06693e+01 0.00000e+00
 478864  2394320   ILU0 483 9.80441e-08 3.19564e-02 6.62857e+00 1.00000e+02
 478864  2394320   ILU1 317 9.56235e-08 1.31164e-01 5.04138e+00 1.40116e+02
 958441  4792205 NoPrec 1962 5.74175e-08 0.00000e+00 2.20809e+01 0.00000e+00
 958441  4792205 Jacobi 1962 5.74185e-08 3.09453e-03 2.29634e+01 2.00000e+01
 958441  4792205   SSOR 938 9.83511e-08 4.40000e-08 2.96072e+01 0.00000e+00
 958441  4792205   ILU0 678 9.91705e-08 6.25628e-02 1.80096e+01 1.00000e+02
 958441  4792205   ILU1 438 8.66487e-08 2.21390e-01 1.37985e+01 1.40082e+02
